,city,latitude,longitutde,temperature,humidity,cloudiness,wind_speed
45,klaksvik,62.23,-6.59,46.4,81,88,3.36
46,manokwari,-0.87,134.08,76.24,100,92,3.6
47,billund,55.73,9.12,50.72,87,40,5.82
48,tasiilaq,65.61,-37.64,41.0,75,88,5.82
49,excelsior springs,39.34,-94.23,91.96,41,1,13.87
50,avarua,-21.21,-159.78,77.0,78,20,6.93
51,mareeba,-16.99,145.42,62.6,93,20,2.24
52,kilrush,51.96,-8.06,53.6,71,75,5.82
53,aykhal,65.95,111.51,39.7,85,24,2.59
54,provideniya,64.42,-173.23,46.63,100,64,11.65
55,hermanus,-34.42,19.24,47.35,100,92,12.66
56,carnarvon,-30.97,22.13,42.04,69,0,13.56
57,cape town,-33.93,18.42,51.8,76,90,10.29
58,hamilton,32.3,-64.78,84.2,74,40,10.29
59,leningradskiy,69.38,178.42,36.64,100,92,9.98
60,dikson,73.51,80.55,46.45,100,88,13.67
61,punta arenas,-53.16,-70.91,44.6,65,75,12.75
62,mataura,-46.19,168.86,44.92,83,0,11.54
63,chuy,-33.69,-53.46,48.88,73,8,24.74
64,tiksi,71.64,128.87,39.16,100,0,3.94
65,albany,42.65,-73.75,77.74,45,75,11.41
66,palafrugell,41.92,3.16,66.2,68,40,4.7
67,ambilobe,-13.19,49.05,70.75,64,20,10.98
68,alta floresta,-9.87,-56.08,87.8,55,20,6.93
69,vila velha,-3.71,-38.6,82.4,69,0,11.41
70,vestmannaeyjar,63.44,-20.27,48.43,91,20,5.95
71,grindavik,63.84,-22.43,51.91,66,20,8.05
72,kavieng,-2.57,150.8,80.47,100,32,1.03
73,burns lake,54.23,-125.76,61.21,57,44,6.4
74,nizhniy kuranakh,58.84,125.49,52.57,99,92,2.71
75,teguldet,57.31,88.17,52.39,96,20,5.06
76,east london,-33.02,27.91,69.31,94,0,5.73
77,bluff,-23.58,149.07,60.22,96,68,5.06
78,saint george,39.45,22.34,77.0,65,0,3.6
79,kulhudhuffushi,6.62,73.07,81.01,100,56,11.65
80,kahului,20.89,-156.47,79.41,76,75,5.82
81,smithers,54.78,-127.17,60.8,67,75,3.36
82,bambous virieux,-20.34,57.76,71.6,73,40,13.87
83,yellowknife,62.45,-114.38,53.6,62,90,13.87
84,kruisfontein,-34.0,24.73,52.3,100,0,6.17
85,ahipara,-35.17,173.16,56.17,90,76,11.21
86,airai,-8.93,125.41,63.91,92,0,1.59
87,tessalit,20.2,1.01,90.46,29,32,13.67
88,clyde river,70.47,-68.59,41.0,80,75,18.34
89,oktyabrskiy,55.61,37.97,57.67,82,0,4.47
90,fare,-16.7,-151.02,77.5,100,92,6.51
91,kuantan,3.82,103.33,78.8,94,75,2.24
92,tuktoyaktuk,69.44,-133.03,51.8,62,40,2.24
93,magadan,59.56,150.8,59.0,100,90,3.04
94,san vicente,13.64,-88.78,87.8,55,20,3.36
95,geraldton,49.72,-86.95,64.4,93,90,8.05
96,pacific grove,36.62,-121.92,67.66,63,20,6.93
97,axim,4.87,-2.24,76.51,96,68,11.43
98,cherskiy,68.75,161.3,36.1,95,88,6.73
99,cayenne,4.94,-52.33,86.0,70,20,11.41
100,vaini,15.34,74.49,68.14,99,92,6.4
101,itoman,26.12,127.67,79.23,88,75,13.87
102,hobyo,5.35,48.53,73.81,83,0,20.04
103,la ronge,55.1,-105.3,48.2,81,90,8.05
104,hobro,56.64,9.79,51.85,93,20,4.7
105,san rafael del sur,11.85,-86.44,89.6,52,40,18.34
106,chegdomyn,51.13,133.04,54.19,91,56,2.15
107,bathsheba,13.22,-59.52,84.2,66,20,18.34
108,riverton,43.02,-108.38,80.33,19,1,6.93
109,adrar,27.87,-0.29,96.8,14,0,10.29
110,pisco,-13.71,-76.2,71.6,30,0,11.41
111,pevek,69.7,170.27,36.46,100,88,9.98
112,caicedo,6.41,-75.98,78.4,28,40,18.34
113,tevaitoa,-16.78,-151.5,77.5,100,92,6.51
114,altay,47.83,88.13,41.05,85,0,3.6
115,port elizabeth,39.31,-74.98,78.28,60,75,6.93
116,livenka,50.74,40.23,54.73,61,0,2.93
117,son la,21.32,103.9,69.94,98,36,0.47
118,komsomolskiy,67.55,63.78,39.88,85,0,2.93
119,bredasdorp,-34.53,20.04,53.6,81,80,17.22
120,umm lajj,25.02,37.27,80.92,99,0,6.51
121,kula,45.61,19.53,75.2,64,0,11.41
122,westport,53.8,-9.52,53.6,81,90,4.7
123,kijang,35.24,129.21,77.0,100,90,3.36
124,ayan,40.67,33.6,68.86,54,88,1.92
125,ewo,-0.88,14.81,73.72,86,64,3.15
126,kassala,15.45,36.38,74.35,80,48,6.96
127,boras,57.72,12.94,50.97,93,20,5.82
128,upernavik,72.79,-56.15,39.52,99,92,25.64
129,mehamn,71.03,27.85,53.02,95,88,11.65
130,constitucion,23.99,-104.67,80.6,34,40,5.82
131,staryy nadym,65.61,72.68,55.27,85,44,15.12
132,kampot,10.62,104.18,77.32,84,64,4.72
133,coquimbo,-29.95,-71.34,60.8,67,0,12.75
134,sao joao da barra,-21.64,-41.05,80.6,57,0,16.11
135,alofi,-19.06,-169.92,71.6,94,90,8.05
136,marsh harbour,26.54,-77.06,85.69,95,24,12.66
137,flinders,-34.58,150.85,50.0,93,80,9.17
138,sitka,37.17,-99.65,93.97,48,0,13.11
139,alice springs,-23.7,133.88,39.2,60,0,5.82
140,dubti,11.74,41.09,79.93,54,56,5.17
141,talnakh,69.49,88.39,51.22,90,100,2.37
142,miri,10.31,9.75,69.67,91,100,1.03
143,pringsewu,-5.36,104.98,72.37,93,24,1.48
144,hambantota,6.12,81.12,80.29,98,68,16.46
145,nemuro,43.32,145.57,59.77,99,100,18.81
146,grand-lahou,5.24,-5.0,73.99,94,92,7.96
147,luderitz,-26.65,15.16,51.13,91,0,3.71
148,bonavista,48.65,-53.11,75.07,60,0,19.15
149,salalah,17.01,54.1,73.4,100,90,3.36
150,north myrtle beach,33.83,-78.68,77.32,74,1,8.05
151,canita,9.21,-78.88,84.2,79,75,6.93
152,narsaq,60.91,-46.05,46.4,70,75,13.87
153,isangel,-19.55,169.27,72.91,100,44,16.58
154,castro,-42.48,-73.76,50.77,99,92,7.07
155,zaysan,47.47,84.87,50.77,71,8,2.59
156,pottstown,40.25,-75.65,79.03,50,75,3.15
157,bilma,18.69,12.92,88.39,37,0,10.65
158,ridgecrest,35.62,-117.67,93.02,13,1,4.7
159,yulara,-25.24,130.99,39.2,51,0,8.05
160,norman wells,65.28,-126.83,51.8,93,90,2.24
161,wausau,44.96,-89.63,74.84,58,90,8.05
162,todos santos,23.45,-110.23,92.05,41,20,11.41
163,mar del plata,-46.43,-67.52,61.39,49,68,20.04
164,nakhon phanom,17.4,104.79,71.47,100,92,3.94
165,turtas,58.94,69.13,61.12,73,56,6.73
166,kupang,-10.16,123.6,75.61,98,24,8.19
167,khorixas,-20.37,14.96,51.67,48,0,2.59
168,sorland,67.67,12.69,52.75,100,92,21.16
169,puerto ayora,-0.74,-90.35,77.0,65,75,17.22
170,vila,45.18,8.4,68.02,100,90,5.82
171,bulaevo,54.91,70.44,55.45,100,92,3.71
172,neryungri,56.66,124.71,49.69,84,0,3.15
173,vila franca do campo,37.72,-25.43,73.4,69,20,8.05
174,erzin,36.95,36.2,79.68,61,0,10.29
175,port blair,11.67,92.75,78.85,100,88,21.83
176,portland,45.52,-122.67,64.02,62,90,5.82
177,north bend,43.41,-124.22,63.27,62,1,21.92
178,harnosand,62.63,17.94,49.14,100,0,8.75
179,georgetown,6.8,-58.16,87.8,66,75,13.87
180,kununurra,-15.77,128.74,53.6,71,0,4.7
181,steamboat springs,40.48,-106.83,77.18,28,1,8.05
182,gdansk,54.35,18.65,57.2,87,75,11.41
183,tayshet,55.94,98.01,56.53,81,0,4.38
184,puerto escondido,15.86,-97.07,87.8,62,40,9.17
185,quatre cocos,-20.21,57.76,71.6,73,40,13.87
186,fukuma,33.77,130.47,82.4,69,8,9.17
187,conakry,9.52,-13.7,78.8,88,75,2.24
188,tavda,58.04,65.27,59.05,90,32,10.76
189,auki,12.18,6.51,71.02,95,12,7.52
190,basoko,1.23,23.61,71.65,96,36,2.59
191,ashford,51.15,0.87,56.35,76,12,6.93
192,half moon bay,37.46,-122.43,70.97,87,90,9.17
193,varnamo,57.19,14.04,52.66,76,0,3.36
194,codrington,-28.95,153.24,50.77,96,92,0.69
195,sao felix do xingu,-6.64,-51.99,88.12,47,0,4.94
196,xichang,27.88,102.25,56.71,100,92,1.48
197,roald,62.58,6.12,48.96,81,75,5.82
198,myitkyina,25.38,97.4,73.99,100,92,2.48
199,sabzevar,36.21,57.68,59.32,55,0,2.71
200,prince rupert,54.32,-130.32,57.2,93,90,5.82
201,sobolevo,54.43,31.9,57.7,68,0,7.07
202,bulgan,48.81,103.53,41.32,86,0,2.59
203,arraial do cabo,-22.97,-42.02,73.4,83,75,16.11
204,kathmandu,27.71,85.32,69.8,100,75,2.24
205,banda aceh,5.56,95.32,77.05,85,76,5.06
206,benalla,-36.55,145.99,32.0,73,0,3.36
207,ilulissat,69.22,-51.1,42.8,81,75,6.93
208,sabang,13.72,123.58,81.46,87,48,11.99
209,zharkent,44.17,80.0,50.05,58,88,1.92
210,laguna,27.52,-110.01,95.0,39,75,4.7
211,monywa,22.12,95.13,75.61,95,92,7.07
212,dvinskoy,62.16,45.12,56.17,86,0,6.96
213,aklavik,68.22,-135.01,54.64,62,75,2.24
214,loandjili,-4.77,11.87,77.0,78,90,4.7
215,adre,13.47,22.2,64.99,98,8,3.04
216,broome,52.47,1.45,52.95,81,0,3.38
217,cravo norte,6.3,-70.2,84.52,75,8,8.52
218,iqaluit,63.75,-68.52,42.8,87,75,3.36
219,vincennes,38.68,-87.53,88.77,57,1,12.75
220,shache,38.42,77.24,59.95,67,92,3.6
221,bandarbeyla,9.49,50.81,77.32,87,0,32.91
222,iracoubo,5.48,-53.21,83.17,66,0,6.73
223,manacapuru,-3.3,-60.62,93.25,41,0,6.51
224,hastings,-39.64,176.84,47.17,100,0,6.17
225,fairbanks,64.84,-147.72,53.96,84,90,3.36
226,hwange,-18.35,26.5,63.1,48,0,4.94
227,nikolskoye,59.7,30.79,64.4,88,75,4.47
228,tacuati,-23.46,-56.74,61.84,48,0,6.51
229,beitbridge,-22.21,29.99,66.25,61,0,9.19
230,thompson,55.74,-97.86,46.4,93,90,9.17
231,paamiut,61.99,-49.67,44.47,91,32,18.14
232,touros,-5.2,-35.46,78.76,82,88,20.83
233,martapura,-3.41,114.85,75.2,88,40,1.12
234,tuatapere,-46.13,167.69,50.59,93,0,19.71
235,udachnyy,66.42,112.4,39.97,90,24,2.15
236,merauke,-8.49,140.4,75.61,96,80,9.98
237,awjilah,29.14,21.3,88.12,35,0,11.65
238,souillac,45.6,-0.6,59.59,82,90,3.36
239,kutum,14.2,24.66,66.34,82,44,2.59
240,nanortalik,60.14,-45.24,42.4,96,0,6.73
241,wajir,1.75,40.07,74.89,74,92,14.0
242,bereda,43.27,-7.54,64.4,77,20,4.7
243,plainview,34.18,-101.71,93.94,33,1,11.41
244,arlit,18.74,7.39,80.2,59,36,16.69
245,kurchum,48.57,83.65,57.52,100,0,3.6
246,san patricio,-26.98,-56.83,55.81,58,0,4.5
247,vangaindrano,-23.35,47.6,58.42,92,0,2.71
248,sarahan,31.51,77.79,29.17,87,8,2.15
249,hasaki,35.73,140.83,77.0,100,75,1.12
250,mikuni,36.22,136.15,78.8,88,75,3.36
251,samarai,-10.62,150.67,75.97,100,92,12.77
252,pomoryany,49.64,24.93,64.45,92,24,5.95
253,dehloran,32.69,47.27,82.27,33,0,1.59
254,aki,33.51,133.91,74.89,100,92,2.15
255,andreyevo,55.95,41.15,56.44,71,0,6.4
256,taldan,53.69,124.82,59.68,91,32,2.37
257,saint-philippe,45.36,-73.48,83.7,42,1,13.87
258,tevriz,57.51,72.4,58.78,87,44,9.53
259,tazovskiy,67.47,78.7,59.68,61,100,6.96
260,zhigansk,66.77,123.37,47.17,81,0,3.15
261,harper,30.3,-99.24,94.95,25,1,11.41
262,bodden town,19.28,-81.25,87.8,70,40,6.93
263,krasnyy yar,50.7,44.73,53.29,75,0,2.93
264,vao,59.1,26.19,58.33,97,88,2.71
265,san quintin,17.54,120.52,72.19,91,92,8.19
266,lagoa,37.14,-8.45,89.6,25,0,12.75
267,nuevo progreso,26.05,-97.95,96.8,28,40,13.87
268,tual,-5.67,132.75,78.85,99,48,7.96
269,aksarka,66.56,67.8,43.57,73,0,14.79
270,necochea,-38.55,-58.74,47.98,65,0,6.4
271,naze,5.43,7.07,78.8,78,40,9.17
272,hualmay,-11.1,-77.61,67.15,71,12,5.17
273,oranjemund,-28.55,16.43,57.07,96,24,19.26
274,roswell,33.39,-104.52,89.51,46,75,9.17
275,adzope,6.11,-3.86,72.82,96,88,8.97
276,mitsamiouli,-11.38,43.28,73.4,78,20,5.82
277,burgos,42.34,-3.7,57.2,67,0,11.41
278,ancud,-41.87,-73.83,51.22,98,92,7.52
279,uglegorsk,49.08,142.06,49.15,97,92,3.15
280,sterling,39.0,-77.4,80.56,45,40,3.36
281,buala,-8.15,159.59,80.2,96,76,6.51
282,iralaya,15.0,-83.23,78.8,83,90,10.09
283,awbari,26.59,12.77,84.97,27,56,3.15
284,farah,32.37,62.11,74.8,18,0,12.66
285,gao,16.28,-0.04,85.96,63,48,11.65
286,lompoc,34.64,-120.46,71.37,65,1,13.87
287,meulaboh,4.14,96.13,78.85,100,80,3.15
288,qinhuangdao,39.94,119.59,65.35,92,48,2.59
289,sandakan,5.84,118.12,78.8,88,75,3.36
290,sistranda,63.73,8.83,50.0,87,75,12.75
291,ewa beach,21.32,-158.01,81.01,67,75,6.93
292,rawson,-43.3,-65.11,64.0,34,0,9.53
293,sola,58.89,5.65,53.87,81,40,4.7
294,kibakwe,-6.71,36.37,63.46,77,32,5.95
295,angoche,-16.23,39.91,75.79,100,0,7.18
296,lasa,34.92,32.53,79.57,74,40,10.29
297,labuhan,-2.54,115.51,71.47,100,32,2.04
298,faya,18.39,42.45,76.08,53,0,5.17
299,haikou,20.04,110.34,78.8,94,20,6.71
300,dongning,44.06,131.12,59.5,94,24,2.71
301,dargaville,-35.94,173.86,55.09,89,92,10.09
302,le port,42.87,1.37,48.25,84,32,1.7
303,adwa,14.16,38.9,62.29,99,92,2.37
304,jackson,35.61,-88.82,90.63,48,1,6.93
305,manggar,-2.88,108.27,79.3,89,64,7.96
306,micheweni,-4.97,39.83,76.69,100,92,15.68
307,jingdezhen,29.29,117.2,77.5,84,12,6.73
308,mantua,45.16,10.79,64.31,93,75,5.82
309,roma,41.89,12.48,76.42,73,0,8.05
310,dunedin,-45.87,170.5,36.37,82,0,1.92
311,okhotsk,59.36,143.24,57.34,100,92,4.38
312,ostrovnoy,68.05,39.51,63.91,65,80,21.05
313,andijon,40.76,72.37,55.45,70,0,1.92
314,slave lake,55.28,-114.77,59.77,72,76,4.05
315,camamu,-13.94,-39.11,75.79,83,92,9.42
316,concordia,-31.4,-58.02,55.4,47,0,8.05
317,san pedro,-33.68,-59.66,55.36,48,0,7.96
318,avera,33.19,-82.53,87.62,44,1,8.05
319,praia da vitoria,38.73,-27.07,75.2,73,20,11.21
320,pinega,64.7,43.39,61.57,76,32,8.41
321,fergus falls,46.28,-96.08,77.67,65,75,5.82
322,dukat,42.44,22.31,65.8,70,64,1.92
323,muyezerskiy,63.93,31.65,59.86,98,92,5.39
324,berlevag,70.86,29.09,52.39,93,12,12.77
325,okha,53.59,142.95,56.98,94,8,4.16
326,kiunga,-6.12,141.3,71.56,99,88,2.04
327,flin flon,54.77,-101.88,50.0,87,90,6.93
328,burnie,-41.05,145.91,51.49,100,88,15.12
329,pierre,44.37,-100.35,93.92,25,1,17.22
330,sri aman,1.24,111.46,77.0,94,68,1.59
331,sucua,-2.46,-78.17,71.29,81,44,3.94
332,grand-santi,4.27,-54.38,87.94,52,68,3.6
333,solnechnyy,50.72,136.64,57.88,92,44,2.93
334,bontang,0.12,117.47,79.66,100,32,4.38
335,chicama,-7.84,-79.15,68.0,72,20,10.29
336,tsumeb,-19.25,17.72,58.24,50,0,1.03
337,atar,20.52,-13.05,92.35,16,0,6.51
338,kalashnikovo,57.28,35.23,57.07,78,8,3.71
339,rocha,-34.48,-54.34,44.83,79,64,17.13
340,college,64.86,-147.8,53.96,84,90,3.36
341,pokrovsk,48.28,37.18,65.35,41,0,9.08
342,muros,42.77,-9.06,60.8,82,20,11.41
343,pasighat,28.06,95.33,71.56,97,92,1.7
344,urucara,-2.54,-57.76,95.05,32,0,4.61
345,ola,59.58,151.3,59.0,100,90,4.94
346,rutana,-3.93,29.99,60.4,92,68,3.04
347,nizhniy tsasuchey,50.52,115.13,60.04,89,88,3.6
348,bogashevo,56.37,85.14,59.68,75,8,7.18
349,nouadhibou,20.93,-17.03,73.4,73,0,23.04
350,guerrero negro,27.97,-114.04,82.45,54,0,11.65
351,santa rosa,-36.62,-64.29,60.58,29,0,7.4
352,hami,42.84,93.51,64.81,44,8,4.94
353,botngard,63.77,9.81,50.0,87,75,12.75
354,northam,51.04,-4.21,58.08,55,0,6.93
355,the valley,18.22,-63.06,85.14,66,20,13.87
356,miraflores,5.2,-73.14,66.25,48,8,2.71
357,saint-pierre,48.95,4.24,54.39,62,0,4.7
358,ust-kuyga,70.0,135.55,33.67,91,8,2.71
359,svetlaya,46.54,138.33,56.17,100,100,14.23
360,mao,19.55,-71.08,91.38,38,20,19.46
361,arman,59.7,150.17,59.0,100,90,9.42
362,makakilo city,21.35,-158.09,81.0,67,75,6.93
363,baoying,33.24,119.31,76.87,89,36,12.55
364,omboue,-1.57,9.26,74.89,100,0,7.63
365,hornepayne,49.22,-84.78,69.67,77,36,3.6
366,yerbogachen,61.28,108.01,45.46,96,8,2.48
367,viedma,-40.81,-62.99,56.89,29,0,11.1
368,reo,12.32,-2.47,76.96,78,8,10.2
369,mataram,-5.32,105.06,72.37,93,24,1.48
370,nuuk,64.17,-51.74,44.6,75,75,3.36
371,te anau,-45.41,167.72,43.75,89,76,11.1
372,walvis bay,-22.95,14.51,56.17,100,0,16.24
373,yashkul,46.17,45.34,62.02,57,0,6.17
374,platteville,42.73,-90.48,82.96,66,40,6.93
375,verkhnyaya inta,65.99,60.32,41.59,89,20,2.15
376,khairpur nathan shah,27.09,67.73,84.88,60,0,9.53
377,tezu,27.93,96.16,69.13,96,76,1.59
378,coihaique,-45.58,-72.07,45.39,93,90,9.17
379,kramat,-7.04,112.64,73.4,83,20,3.36
380,port hardy,50.7,-127.42,59.0,87,90,4.7
381,dubbo,-32.25,148.6,50.0,100,90,6.93
382,namtsy,62.72,129.66,49.69,94,0,2.48
383,agadez,16.97,7.99,77.77,85,88,6.51
384,lebu,8.96,38.73,45.19,88,36,2.59
385,grand gaube,-20.01,57.66,71.6,73,40,13.87
386,ruidoso,33.33,-105.67,85.21,49,8,14.99
387,klyuchevskiy,53.53,119.45,55.9,88,48,2.15
388,elmira,42.09,-76.81,76.21,50,20,13.87
389,polunochnoye,60.87,60.43,55.9,93,24,7.63
390,inhambane,-23.87,35.38,69.31,100,0,9.64
391,kaitangata,-46.28,169.85,49.69,74,0,21.61
392,nakama,33.82,130.71,82.4,69,0,9.17
393,bagdarin,54.44,113.59,54.46,80,56,2.71
394,richards bay,-28.77,32.06,71.38,67,0,11.43
395,lavrentiya,65.58,-170.99,45.82,96,80,9.64
396,nikolsk,59.53,45.45,52.39,94,0,3.15
397,mitu,36.2,46.09,58.78,68,0,1.36
398,livingston,32.58,-88.19,93.45,46,20,5.82
399,solano,16.52,121.18,67.78,95,92,2.37
400,manono,-7.3,27.4,69.49,89,24,3.38
401,saskatoon,52.13,-106.66,57.2,50,75,13.87
402,cidreira,-30.17,-50.22,53.47,69,0,19.48
403,ikryanoye,46.1,47.74,60.8,72,0,3.38
404,pangnirtung,66.15,-65.72,46.4,75,75,14.99
405,verkhnevilyuysk,63.45,120.31,46.0,91,0,2.93
406,saint anthony,43.97,-111.68,76.66,20,1,14.99
407,biak,-0.91,122.88,75.52,100,92,3.71
408,mizque,-17.94,-65.34,55.27,72,48,4.38
409,husavik,50.56,-96.99,68.14,85,0,13.22
410,trairi,-3.28,-39.27,79.39,100,0,19.71
411,seabra,-12.42,-41.77,75.34,39,0,8.63
412,kendrapara,20.5,86.42,80.6,94,90,10.29
413,wanning,48.64,13.53,55.4,87,75,8.05
414,nome,30.04,-94.42,94.06,43,1,4.7
415,high level,58.52,-117.13,46.4,75,90,5.82
416,edmond,35.66,-97.47,94.08,37,1,16.11
417,kitami,43.8,143.9,60.85,96,80,8.41
418,zhoucheng,31.35,119.33,76.87,97,92,8.75
419,tyazhinskiy,56.11,88.52,58.42,98,88,2.59
420,antofagasta,-23.65,-70.4,59.0,67,20,10.29
421,tlaxco,19.61,-98.12,73.4,35,40,3.36
422,chapais,49.78,-74.86,71.6,64,75,10.29
423,kutulik,53.35,102.79,53.29,90,0,8.63
424,mubi,10.27,13.26,66.97,96,64,2.48
425,cabedelo,-6.97,-34.84,77.0,78,75,12.75
426,nelson bay,-32.72,152.14,50.0,93,90,3.36
427,adavere,58.71,25.9,57.2,93,92,2.24
428,skibbereen,51.55,-9.27,53.6,71,75,4.7
429,nalut,31.86,10.98,78.49,44,0,8.97
430,anadyr,64.73,177.51,46.4,93,90,8.95
431,kainantu,-6.29,145.87,62.92,99,80,0.92
432,todiresti,47.32,26.83,69.84,77,0,6.93
433,namibe,-15.19,12.15,64.81,100,0,12.55
434,ca mau,9.18,105.15,79.03,97,76,6.4
435,logan,41.73,-111.83,82.98,18,1,3.36
436,inirida,3.87,-67.92,87.58,63,36,2.71
437,anchorage,61.22,-149.89,56.46,71,1,4.7
438,champerico,16.38,-93.6,87.8,48,75,8.05
439,orizona,-17.03,-48.3,79.57,39,20,5.06
440,limoeiro do ajuru,-1.9,-49.38,86.23,74,76,9.19
441,tolaga bay,-38.37,178.3,49.33,81,0,9.08
442,helong,25.94,116.13,70.66,98,92,2.59
443,indramayu,-4.05,103.78,70.39,94,88,0.69
444,puerto quijarro,-19.0,-57.72,71.62,35,0,12.75
445,filimonovo,54.21,39.6,56.53,51,0,6.06
446,batagay-alyta,67.8,130.41,31.87,85,0,2.71
447,lengshuitan,26.41,111.6,73.9,78,56,6.51
448,dinguiraye,11.29,-10.71,68.77,99,88,3.94
449,shakawe,-18.36,21.84,77.5,20,64,10.2
450,coahuayana,18.62,-100.35,79.3,66,44,3.04
451,eureka,40.8,-124.16,62.31,83,75,6.93
452,marovoay,-16.11,46.64,75.2,78,20,12.44
453,yar-sale,66.83,70.83,50.32,100,0,20.71
454,lamu,0.57,122.3,72.19,100,88,1.92
455,ordu,40.98,37.88,60.49,74,0,1.59
456,lorengau,-2.02,147.27,80.56,100,0,1.36
457,san cristobal,-0.39,-78.55,66.2,34,75,11.41
458,forst,49.94,11.5,52.56,87,12,2.24
459,gueret,46.17,1.87,55.4,82,75,4.7
460,camopi,3.17,-52.33,85.51,59,24,3.71
461,dwarka,28.58,77.04,82.4,83,40,6.93
462,sur,22.57,59.53,84.97,89,0,4.72
463,greenfield,42.59,-72.6,78.08,48,75,9.17
464,pamanukan,-6.28,107.82,80.2,100,20,11.99
465,manado,1.49,124.85,73.4,94,20,2.24
466,sharjah,25.36,55.39,91.26,53,0,5.82
467,terrace bay,48.78,-87.1,64.4,100,90,2.24
468,cugir,45.84,23.37,64.4,82,0,2.04
469,christchurch,-43.53,172.64,33.8,97,0,3.36
470,shu,43.6,73.76,57.52,49,0,5.06
471,fortuna,38.18,-1.13,80.6,61,0,4.7
472,riyadh,24.63,46.72,93.2,13,0,3.36
473,hirado,33.32,129.49,82.09,98,48,16.24
474,meadow lake,54.13,-108.44,51.8,66,90,9.17
475,sal rei,16.18,-22.92,81.63,78,75,8.05
476,salinas,36.67,-121.66,67.64,65,1,8.05
477,vryburg,-26.96,24.73,55.72,23,0,9.42
478,vardo,39.62,-77.74,78.91,44,20,8.05
479,abong mbang,3.98,13.18,68.14,94,8,1.92
480,olhao,37.03,-7.84,89.6,25,0,12.75
481,prattville,32.46,-86.46,88.23,52,1,5.82
482,helena,46.59,-112.04,73.04,30,1,11.41
483,fier,40.73,19.56,67.15,92,44,3.04
484,sao filipe,14.9,-24.5,80.29,93,8,5.73
485,coolum beach,-26.53,153.09,60.67,100,92,7.96
486,monrovia,6.33,-10.8,73.4,94,75,12.66
487,sungaipenuh,-2.08,101.38,65.53,96,76,1.03
488,tiznit,29.7,-9.73,72.19,86,0,4.5
489,north branch,45.51,-92.98,74.52,60,75,3.36
490,mackay,53.65,-115.58,56.3,76,90,3.38
491,manali,32.25,77.19,31.6,88,44,0.47
492,ilinskiy,55.62,38.12,57.67,82,0,4.47
493,sinnamary,5.38,-52.96,82.45,93,8,10.98
494,omsukchan,62.53,155.8,37.99,77,80,8.63
495,palana,59.08,159.95,50.77,96,92,3.15
496,swellendam,-34.02,20.44,53.6,81,88,17.22
497,esperance,10.24,-61.45,86.0,70,20,13.87
498,puerto carreno,6.19,-67.49,89.6,59,40,8.05
499,sanandaj,35.31,47.0,55.45,68,0,2.15
500,tarko-sale,64.92,77.78,51.13,91,36,5.95
501,saldanha,41.42,-6.55,64.72,59,0,3.15
